What is the opposite of 'ephemeral'?; Permanent; Temporary; Eternal; Fleeting; B; 10 1 1
What is the missing word in this phrase: 'Bite the ____'?; Dust; Cake; Bullet; Cherry; C; 10 1 1
What is the synonym for 'ubiquitous'?; Everywhere; Common; Rare; Scarce; A; 10 1 1
What is the collective noun for a group of owls?; Flock; Herd; Parliament; Troop; C; 10 1 1
What is the plural form of 'cactus'?; Cactuses; Cacti; Cactuss; Cactus; B; 10 1 1
What letter does the longest word in the English language begin with?; A; P; S; F; P; 15 2 0
What is the plural form of 'analysis'?; Analysises; Analyses; Analysi; Analysises; B; 12 2 1
What is the synonym for 'sesquipedalian'?; Long-winded; Concise; Simple; Breviloquent; A; 12 2 1
What is the opposite of 'indefatigable'?; Tireless; Energetic; Exhausted; Lethargic; C; 12 2 1
What is the collective noun for a group of kangaroos?; Pack; Troop; Herd; Mob; D; 12 2 1
What is the only word in the English language that ends with '-mt'?; Sentiment; Commitment; Dreamt; Element; DREAMT; 18 3 0
What is the plural form of 'octopus'?; Octopuses; Octopi; Octopodes; Octopusses; A; 15 3 1
What is the synonym for 'eccentric'?; Boring; Normal; Quirky; Conventional; C; 15 3 1
What is the missing word in this phrase: 'A watched pot never ____'?; Cooks; Boils; Simmers; Melts; B; 15 3 1
What is the missing word in this phrase: 'A penny for your ____ ?; Dreams; Wishes; Secrets; Thoughts; D; 20 4 1
What is the plural form of 'criterion'?; Criterions; Criteria; Criteri; Criterionesses; B; 20 4 1
What is the plural form of 'phenomenon'?; Phenomenons; Phenomena; Phenomeni; Phenomenonesses; B; 20 4 1
When in Rome, ____ as the Romans do.; Speak; Behave; Live; Act; D; 25 5 1
You can’t make an omelette without breaking a few ____?; Shells; Chickens; Eggs; Dishes; C; 25 5 1
The proof of the pudding is in the ____?; Tasting; Eating; Ingredients; Cooking; B; 25 5 1
