What is the smallest unit of matter?; Molecule; Atom; Cell; Proton; B; 10 1 1
What gas do plants release during photosynthesis?; Carbon Dioxide; Nitrogen; Oxygen; Hydrogen; C; 10 1 1
What is the study of fossils called?; Paleontology; Geology; Archaeology; Anthropology; A; 10 1 1
Which gas is responsible for the greenhouse effect?; Methane; Nitrogen; Carbon Dioxide; Oxygen; C; 10 1 1
What is the name of the process by which plants lose water through their leaves?; Photosynthesis; Respiration; Evaporation; Transpiration; D; 10 1 1
What is the chemical symbol for gold?; Ag; Au; Fe; Gd; AU; 10 1 0
What is the study of the Earth’s physical structure and composition?; Geography; Geology; Astronomy; Oceanography; B; 12 2 1
What is the process by which rocks are broken down into smaller pieces?; Weathering; Erosion; Deposition; Sedimentation; A; 12 2 1
What is the largest organ in the human body?; Liver; Skin; Small Intestines; Tongue; B; 12 2 1
What is the process by which an organism changes over time?; Mutation; Adaptation; Natural Selection; Evolution; D; 12 2 1
What are human nails made of?; Calcium; Keratin; Chitin; Bone; B; 15 3 1
What is the molecular formula of the active component of chili peppers(Capsaicin)?; C21-H23-NO3; C18-H27-NO3; C6-H4-Cl2; C13-H25-NO4; B; 18 3 1
An organism described as 'heliotropic' has a tendancy to move towards which of these things?; Light; Water; Trees; Pollen; A; 15 3 1
The C programming language was created by this American computer scientist.; Tim Berners Lee; al-Khwārizmī; Dennis Ritchie; Willis Ware; C; 20 4 1
How many officially recognized dwarf planets in the solar system are named after Polynesian deities?; 0; 1; 5; 2; 2; 25 4 0
What is the atomic number of the element Strontium?; 11; 38; 73; 47; 38; 25 4 0
When the Falcon Heavy was launched on it's test flight, what was the only part of the operation that failed?; Side Booster Landing; Center Core Landing; Deployment of Starman; Ignition and Liftoff; B; 25 4 1
What is the name of the cognitive bias wherein a person with low ability in a particular skill mistake themselves as being superior?; Meyers-Briggs effect; Miller-Lyer effect; Freud-Hall effect; Dunning-Kruger effect; D; 30 5 1
The humerus, paired radius, and ulna come together to form what joint?; Knee; Elbow; Shoulder; Ankle; ELBOW; 30 5 0
What polymer is used to make CDs, safety goggles and riot shields?; Polycarbonate; Nylon; Rubber; Bakelite; A; 30 5 1
Which portion of the Marijuana plant produces the psychoactive substance known as THC?; Leaves; Male Flower; Female Flower; Root Ball; C; 30 5 1
